Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Commute,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
493704225,"Jul 17, 2015, 10:15:52 AM",Morning Run,Run,2349,5.56,false,2276,8.89999961853027,23.0832996368408,,25.2000007629395,49.5999984741211,8.69999980926514,-0.019760400056839
493704226,"Jul 14, 2015, 10:09:02 AM",Morning Run,Run,2151,5.47,false,2131,4.19999980926514,24.11669921875,,24.8999996185303,49.2999992370605,13.6000003814697,-0.018283899873495
493704236,"Jul 21, 2015, 9:51:26 AM",Morning Run,Run,2287,5.43,false,2239,5.09999990463257,23.1667003631592,,24.7999992370605,49.4000015258789,11.6000003814697,-0.016548100858927
493704240,"Jul 19, 2015, 12:16:53 PM",Morning Run,Run,2909,6.99,false,2876,7.30000019073486,30.88330078125,,18.1000003814697,49.0999984741211,10.1999998092651,-0.018597500398755
493704241,"Jul 24, 2015, 9:51:15 AM",Morning Run,Run,2243,5.48,false,2189,7.59999990463257,23.9500007629395,,24.8999996185303,49.2999992370605,10.8000001907349,-0.02186349965632
493704242,"Jul 28, 2015, 10:00:55 AM",Morning Run,Run,2121,5.37,false,2100,4.09999990463257,22.2000007629395,,25.3999996185303,49.0999984741211,9.60000038146973,-0.026032999157906
493704246,"Aug 4, 2015, 10:06:13 AM",Morning Run,Run,2054,5.36,false,2039,4.19999980926514,22.1000003814697,,25.5,48.7999992370605,9,-0.033583298325539
493704249,"Aug 9, 2015, 1:54:33 PM",Morning Run,Run,2987,7.53,false,2934,6.80000019073486,64.5,,-0.300000011920929,47,8,-0.010621899738908
493704252,"Jul 26, 2015, 3:06:24 PM",Lunch Run,Run,2906,6.9,false,2750,5.40000009536743,31.0333003997803,,18.1000003814697,49.4000015258789,12.3000001907349,-0.008684449829161
493704257,"Aug 6, 2015, 9:56:42 AM",Morning Run,Run,2793,6.92,false,2664,4.80000019073486,31.0832996368408,,18.1000003814697,49.5,11.6999998092651,-0.00866037979722
493704259,"Aug 20, 2015, 9:52:34 AM",Morning Run,Run,2389,6.01,false,2294,5,38.7000007629395,,20.2999992370605,49,13.8999996185303,-0.004985040053725
493704263,"Aug 14, 2015, 10:07:33 AM",Morning Run,Run,2487,6.93,false,2449,10.3000001907349,31.0167007446289,,18.1000003814697,49.2999992370605,10.8999996185303,0.004325630143285
493704265,"Aug 16, 2015, 2:23:57 PM",Morning Run,Run,2452,7.03,false,2419,6.30000019073486,31.2000007629395,,18.1000003814697,49.5999984741211,8.60000038146973,-0.025576500222087
493704269,"Aug 25, 2015, 10:06:48 AM",Morning Run,Run,2669,6.95,false,2632,7.69999980926514,29.86669921875,,18.1000003814697,49.5,10.6999998092651,-0.015807999297977
493704272,"Aug 23, 2015, 6:20:54 PM",Afternoon Run,Run,2676,6.91,false,2601,9.60000038146973,32.2332992553711,,18.1000003814697,50.7000007629395,6.90000009536743,-0.017362900078297
493704277,"Aug 27, 2015, 9:51:13 AM",Morning Run,Run,2599,6.97,false,2599,14.6999998092651,30.9333000183105,,18,49.2000007629395,10.3999996185303,-0.017204100266099
